p_fatal,실제
0.23906392687387065,경+중등도
0.45837356354651976,경+중등도
0.027283744635598458,중상
0.43657783262756117,경+중등도
0.4845838912028993,치명
0.7213726008926126,경+중등도
0.2199849717656898,경+중등도
0.024854494402951913,경+중등도
0.025090818618424392,경+중등도
0.04008043492053787,경+중등도
0.4841725996801909,경+중등도
0.11832906309401225,경+중등도
0.26147858452873946,경+중등도
0.2445744588827248,경+중등도
0.032220211488700565,경+중등도
0.09121752881447,경+중등도
0.07492427309063501,경+중등도
0.5430924496455514,경+중등도
0.7708242202562886,경+중등도
0.16112078957477965,경+중등도
0.3408820526249287,경+중등도
0.019883270101690786,경+중등도
0.20474081526875768,경+중등도
0.3678043883857623,경+중등도
0.3895720239808238,경+중등도
0.22054547214362732,경+중등도
0.08030284651120602,경+중등도
0.414413972596362,경+중등도
0.08344359088434856,경+중등도
0.0794235189427621,경+중등도
0.009787954973108656,경+중등도
0.42575267812450796,경+중등도
0.29685214812922217,경+중등도
0.6662974397179252,경+중등도
0.7306234617932653,경+중등도
0.08541465193148952,경+중등도
0.17756810335520343,경+중등도
0.7205901710560033,경+중등도
0.054601873989338634,경+중등도
0.13707990749888316,경+중등도
0.1268435910197435,경+중등도
0.1348138282698695,경+중등도
0.2804230852745477,경+중등도
0.16177154114480552,중상
0.2563133838059954,경+중등도
0.37193878296191657,경+중등도
0.35060422568219457,경+중등도
0.14706199810382461,경+중등도
0.23856791086559492,경+중등도
0.03973911275124895,경+중등도
0.0955349129321122,경+중등도
0.0028552608346924615,중상
0.052419251732985415,경+중등도
0.2924290454237579,경+중등도
0.1924895710397796,중상
0.20341328554884344,경+중등도
0.010393357911682095,중상
0.03277187653929181,경+중등도
0.3927533994953829,경+중등도
0.19188650271092242,경+중등도
0.02914502310034793,경+중등도
0.3606022189027298,경+중등도
0.07527076119592067,경+중등도
0.1391492839145899,경+중등도
0.28785952705504353,경+중등도
0.3596518492310011,경+중등도
0.11639494181808645,경+중등도
0.037396807941860497,중상
0.015734193949394914,중상
0.2311183151091235,경+중등도
0.15226979472747582,경+중등도
0.3487567639931841,경+중등도
0.042036104239664106,경+중등도
0.424008042515978,경+중등도
0.36676426085867075,경+중등도
0.6070780508070341,경+중등도
0.3155010613375897,경+중등도
0.19784736292737784,경+중등도
0.07249044952314379,경+중등도
0.5780396672336673,경+중등도
0.07420068527750771,경+중등도
0.11845173260108162,경+중등도
0.4266377989174041,경+중등도
0.6123478057072917,치명
0.3920535944290142,경+중등도
0.28345222391940855,경+중등도
0.34053241661397154,경+중등도
0.0038174813659807793,경+중등도
0.08609506579859988,경+중등도
0.31249886585157816,경+중등도
0.09869818939071107,경+중등도
0.30632508961524735,중상
0.02107064218431795,경+중등도
0.3198998571500887,경+중등도
0.7903713406944876,경+중등도
0.032934548139883696,경+중등도
0.21454853799405757,경+중등도
0.25026315972187824,경+중등도
0.5897415735117492,경+중등도
0.13871042260375077,경+중등도
0.17527816381494432,경+중등도
0.09653891208493665,경+중등도
0.3977320259409769,경+중등도
0.14121599983729627,경+중등도
0.03797228086257982,경+중등도
0.18005794385562882,경+중등도
0.8645955148509684,치명
0.1717404637535239,경+중등도
0.04098938510104335,경+중등도
0.05340378408004955,경+중등도
0.12905976142884037,경+중등도
0.08677525571107869,경+중등도
0.16908853299074256,경+중등도
0.1561042836588904,경+중등도
0.3551727352787313,경+중등도
0.5646673358085778,경+중등도
0.12122367199513835,경+중등도
0.08663605019317851,경+중등도
0.3305157051239423,중상
0.08385384486655556,경+중등도
0.42553839688218237,경+중등도
0.002093281231592379,경+중등도
0.1687355560459015,경+중등도
0.22504942636734646,경+중등도
0.1273491441730361,경+중등도
0.24497824714859054,경+중등도
0.2507443989586064,경+중등도
0.026450487229116523,경+중등도
0.3390311227630238,중상
0.05266467352732437,경+중등도
0.12621065445222063,경+중등도
0.20572840890102792,경+중등도
0.2507205677270013,경+중등도
0.2841659001263603,경+중등도
0.1400377586903596,경+중등도
0.8971900500755224,치명
0.05133464271037175,경+중등도
0.19743698442938493,경+중등도
0.3602801232904589,경+중등도
0.008176526966609044,중상
0.17179615718015828,경+중등도
0.5630375221551028,경+중등도
0.07960800717810351,중상
0.43164907127172136,중상
