P_끼임(Caught-in),P_절단·베임·찔림(Cut),P_추락·압착(Falls),P_물체에 맞음(Struck-by),P_전도·충돌(Trips/Struck-against),실제
0.08661587536334991,0.06947267800569534,0.09850934147834778,0.04394762963056564,0.7014545202255249,전도·충돌(Trips/Struck-against)
0.1403486579656601,0.2263915240764618,0.3592911660671234,0.07661731541156769,0.19735129177570343,추락·압착(Falls)
0.29923519492149353,0.049978338181972504,0.30586138367652893,0.18461750447750092,0.16030757129192352,추락·압착(Falls)
0.0264607984572649,0.9399271011352539,0.003473969642072916,0.025445548817515373,0.00469258613884449,절단·베임·찔림(Cut)
0.2991357147693634,0.07812293618917465,0.06508888304233551,0.33193114399909973,0.22572137415409088,끼임(Caught-in)
0.38279077410697937,0.053017374128103256,0.1597292125225067,0.27902689576148987,0.1254357099533081,물체에 맞음(Struck-by)
0.1173793226480484,0.06639905273914337,0.40059390664100647,0.31765514612197876,0.0979725569486618,추락·압착(Falls)
0.1540793627500534,0.08910690248012543,0.16256465017795563,0.4881419539451599,0.10610715299844742,전도·충돌(Trips/Struck-against)
0.3572399318218231,0.07751131057739258,0.07146010547876358,0.27138909697532654,0.22239957749843597,끼임(Caught-in)
0.13949884474277496,0.07323289662599564,0.30845457315444946,0.3450743556022644,0.13373930752277374,추락·압착(Falls)
0.10062813013792038,0.09493506699800491,0.3754580020904541,0.23516444861888885,0.19381433725357056,추락·압착(Falls)
0.158944770693779,0.19122786819934845,0.07066535949707031,0.4698050618171692,0.10935688018798828,전도·충돌(Trips/Struck-against)
0.2904495596885681,0.08824936300516129,0.15237566828727722,0.1660335510969162,0.30289188027381897,끼임(Caught-in)
0.11892799288034439,0.11134356260299683,0.21819816529750824,0.0694299191236496,0.4821004271507263,전도·충돌(Trips/Struck-against)
0.08655335009098053,0.7477515935897827,0.03320075944066048,0.10140275210142136,0.031091563403606415,물체에 맞음(Struck-by)
0.25057700276374817,0.10104239732027054,0.11317505687475204,0.24376298487186432,0.2914426028728485,전도·충돌(Trips/Struck-against)
0.22113049030303955,0.05165141448378563,0.3840065002441406,0.19064798951148987,0.15256360173225403,추락·압착(Falls)
0.1337461620569229,0.6949676871299744,0.0638071671128273,0.07096121460199356,0.036517783999443054,물체에 맞음(Struck-by)
0.25601401925086975,0.09811535477638245,0.15042772889137268,0.15218330919742584,0.3432595729827881,추락·압착(Falls)
0.12033101916313171,0.04649243876338005,0.38444066047668457,0.3276292383670807,0.12110670655965805,추락·압착(Falls)
0.10007907450199127,0.24318985641002655,0.21311236917972565,0.11394642293453217,0.32967227697372437,전도·충돌(Trips/Struck-against)
0.2502654492855072,0.12125039100646973,0.14268139004707336,0.2661692202091217,0.2196335345506668,물체에 맞음(Struck-by)
0.17358066141605377,0.1181255429983139,0.18271653354167938,0.18400737643241882,0.3415698707103729,끼임(Caught-in)
0.19129200279712677,0.03686123713850975,0.19357848167419434,0.42716333270072937,0.15110492706298828,전도·충돌(Trips/Struck-against)
0.036018289625644684,0.12718813121318817,0.6948609352111816,0.027591003105044365,0.1143416166305542,추락·압착(Falls)
